Project Name,Project ID,Role Name,Role Description,Hourly Rate,Required Skills,Preferred Skills,Tools,Availability Date,Time Zone,Working Hours,Minimum Available Hours per Week,Location,industry,Years of Experience,Language,Overlap Time
and Sons,48682,Management Consultant,"This role at PLC involves Management Consultant-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with Brand Strategy, API Design skills and expertise. The role requires 7 years of experience.",19,"Brand Strategy, API Design","Android, Brand Strategy","Preview, Mailgun, Lusha",2023-09-02,GMT+11,09:00 - 18:30,22,"Northern Territory, Australia; Western Australia, Australia; Northern Territory, Australia; Western Australia, Australia; Victoria, Australia",Finance,7,Afrikaans,6
and Sons,48682,CX / Business Designer,"This role at PLC involves CX / Business Designer-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with 3D Engineering, Brand Strategy, Ada skills and expertise. The role requires 6 years of experience.",43,"3D Engineering, Brand Strategy, Ada","Backlog Prioritization, 3D Engineering, Brand Strategy","GIMP, WooCommerce, Autodesk",2023-09-11,GMT+10,10:30 - 18:00,21,"Australian Capital Territory, Australia; Western Australia, Australia; South Australia, Australia; Queensland, Australia; Northern Territory, Australia",IT,6,Afrikaans,4
and Sons,48682,Management Consultant,"This role at Ltd involves Management Consultant-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with Android, Backlog Prioritization, Fundraising skills and expertise. The role requires 4 years of experience.",29,"Android, Backlog Prioritization, Fundraising, Ada","Android, Fundraising, Ada","Microsoft Word, Pro Writing Aid, blogger",2023-09-11,GMT+10,10:00 - 18:30,25,"New South Wales, Australia; Northern Territory, Australia; Queensland, Australia; South Australia, Australia; Australian Capital Territory, Australia",IT,4,Afrikaans,4
and Sons,48682,QA Engineer,"This role at Inc involves QA Engineer-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with Android, Backlog Prioritization, Fundraising skills and expertise. The role requires 6 years of experience.",62,"Android, Backlog Prioritization, Fundraising, Ada","Android, Fundraising, API Design","Canva, ExpressJS, ATS",2023-09-09,GMT+10,09:30 - 18:00,24,"Victoria, Australia; Tasmania, Australia; Australian Capital Territory, Australia; Western Australia, Australia; New South Wales, Australia",Finance,6,Afrikaans,5
LLC,97963,Business Development Manager,"This role at and Sons involves Business Development Manager-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with Android, 3D Engineering, Brand Strategy skills and expertise. The role requires 8 years of experience.",24,"Android, 3D Engineering, Brand Strategy, API Design","Fundraising, Brand Strategy","Clip Studio Paint, Django REST framework, PyTorch",2023-09-10,GMT+10,10:00 - 18:00,26,"Victoria, Australia; Tasmania, Australia; South Australia, Australia; South Australia, Australia; Queensland, Australia",Engineering,8,Arabic,4
LLC,97963,People & Culture Manager,"This role at Inc involves People & Culture Manager-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with Fundraising, Backlog Prioritization, Brand Strategy skills and expertise. The role requires 5 years of experience.",15,"Fundraising, Backlog Prioritization, Brand Strategy, API Design","Fundraising, Brand Strategy, Ada","Yoast, Notepad++, DigitalOcean",2023-09-01,GMT+10,10:00 - 17:00,24,"Australian Capital Territory, Australia; Queensland, Australia; South Australia, Australia; Queensland, Australia; Victoria, Australia",Education,5,Arabic,5
LLC,97963,Community Manager,"This role at LLC involves Community Manager-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with Fundraising, Brand Strategy, API Design skills and expertise. The role requires 6 years of experience.",94,"Fundraising, Brand Strategy, API Design","Backlog Prioritization, Fundraising, Ada","Truffle, ExpressJS, Autodesk Sketchbook",2023-09-04,GMT+11,10:30 - 16:30,30,"Victoria, Australia; Western Australia, Australia; Northern Territory, Australia; Queensland, Australia; New South Wales, Australia",Healthcare,6,Arabic,5
LLC,97963,Motion Graphic Designer,"This role at and Sons involves Motion Graphic Designer-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with 3D Engineering, Brand Strategy, Ada skills and expertise. The role requires 9 years of experience.",58,"3D Engineering, Brand Strategy, Ada","Backlog Prioritization, 3D Engineering, API Design","Google Charts, Smartsheet, Azure SQL Database",2023-09-05,GMT+11,08:30 - 16:00,23,"New South Wales, Australia; Northern Territory, Australia; Northern Territory, Australia; Victoria, Australia; Queensland, Australia",Healthcare,9,Arabic,5
and Sons,13844,Cloud Expert,"This role at LLC involves Cloud Expert-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with 3D Engineering, Fundraising, API Design skills and expertise. The role requires 7 years of experience.",11,"3D Engineering, Fundraising, API Design, Brand Strategy","Android, Fundraising, Brand Strategy","Evernote, Dragonframe, Emscripten",2023-09-07,GMT+10,08:00 - 18:30,22,"Western Australia, Australia; Northern Territory, Australia; Western Australia, Australia; Australian Capital Territory, Australia; Western Australia, Australia",Finance,7,Afrikaans,4
and Sons,13844,Product Owner,"This role at Ltd involves Product Owner-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with Brand Strategy, API Design, Ada skills and expertise. The role requires 2 years of experience.",23,"Brand Strategy, API Design, Ada","Fundraising, Brand Strategy, API Design","Redux, ASP.NET Core, Angular Material",2023-09-08,GMT+10,10:30 - 18:30,20,"Western Australia, Australia; Victoria, Australia; Queensland, Australia; Northern Territory, Australia; New South Wales, Australia",Finance,2,Afrikaans,6
and Sons,13844,Business Development Manager,"This role at Group involves Business Development Manager-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with Backlog Prioritization, Brand Strategy, Ada skills and expertise. The role requires 7 years of experience.",89,"Backlog Prioritization, Brand Strategy, Ada","3D Engineering, Fundraising, Brand Strategy","Looker, Descript, OpenCV",2023-09-07,GMT+11,08:30 - 16:30,22,"Western Australia, Australia; New South Wales, Australia; South Australia, Australia; Queensland, Australia; Australian Capital Territory, Australia",Healthcare,7,Afrikaans,5
